OrderID,CustomerName,Age,Gender,City,Product,Category,Quantity,Price,Rating,OrderDate
1001,Ahmed Khan,25,Male,Karachi,Laptop,Electronics,1,85000,4.5,2024-01-15
1002,Sara Ali,28,Female,Lahore,Phone,Electronics,2,45000,4.2,2024-01-16
1003,Usman Malik,22,Male,Islamabad,Shirt,Clothing,3,2500,3.8,2024-01-17
1004,Ayesha Raza,,Female,Karachi,Shoes,Clothing,2,5500,4.0,2024-01-18
1005,Bilal Hassan,35,Male,,Laptop,Electronics,1,87000,4.7,2024-01-19
1006,Fatima Noor,29,Female,Lahore,Headphones,Electronics,,3500,3.5,2024-01-20
1007,Zain Sheikh,31,Male,Karachi,Pants,Clothing,2,,4.1,2024-01-21
1008,Hina Qureshi,26,Female,Islamabad,Phone,Electronics,1,47000,4.3,2024-01-22
1009,Omar Farooq,,Male,Lahore,Watch,Accessories,2,12000,3.9,2024-01-23
1010,Mariam Baig,24,Female,Karachi,Bag,Accessories,1,8500,4.6,2024-01-24
1002,Sara Ali,28,Female,Lahore,Phone,Electronics,2,45000,4.2,2024-01-16
1011,Asad Javed,27,Male,Islamabad,Laptop,Electronics,1,86000,4.8,2024-01-25
1012,Nadia Shah,,Female,Karachi,Dress,Clothing,3,3500,3.7,2024-01-26
1013,Hamza Ali,23,Male,Lahore,Shoes,Clothing,2,6000,4.0,2024-01-27
1003,Usman Malik,22,Male,Islamabad,Shirt,Clothing,3,2500,3.8,2024-01-17
1014,Sana Mir,30,,Karachi,Phone,Electronics,1,46000,4.1,2024-01-28
1015,Tariq Mehmood,999,Male,Islamabad,Watch,Accessories,1,11000,3.6,2024-01-29
1016,Rabia Iqbal,28,Female,Lahore,,Clothing,2,4500,4.2,2024-01-30
1017,Kamran Butt,26,Male,Karachi,Headphones,Electronics,1,3800,4.4,2024-01-31
1018,Amna Malik,24,Female,,Bag,Accessories,2,9000,3.8,2024-02-01
1019,Faisal Raza,29,Male,Lahore,Laptop,Electronics,1,999999,4.5,2024-02-02
1020,Zara Hussain,27,Female,Islamabad,Dress,Clothing,3,3200,4.0,2024-02-03
1021,Ali Ahmed,25,Male,Karachi,Phone,Electronics,2,44000,4.3,2024-02-04
1022,Mehreen Qazi,31,Female,Lahore,Shoes,Clothing,1,5800,3.9,2024-02-05
1023,Bilal Hassan,35,Male,Karachi,Laptop,Electronics,1,87000,4.7,2024-01-19
1024,Raheel Shah,,Male,Islamabad,Watch,Accessories,2,13000,4.1,2024-02-06
1025,Kubra Mirza,28,Female,Karachi,Bag,Accessories,1,8200,4.5,2024-02-07
1026,Danish Ali,abc,Male,Lahore,Headphones,Electronics,2,3600,3.7,2024-02-08
1027,Hira Baig,26,Female,Islamabad,Shirt,Clothing,3,2800,4.2,2024-02-09
1028,Saad Khan,30,Male,,Phone,Electronics,1,45500,4.0,2024-02-10
